,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,brad tavares,eryk anders,brad tavares,1,0.6354869853917664,-185.0,160.0,0.0,0.0,0.0017071227996228178,-0.013635821625777478
1,amanda lemos,gillian robertson,gillian robertson,0,0.7493502033734201,210.0,-250.0,0.10224645789582167,51.12322894791083,0.07137285466183096,0.035064489087705764
2,ion cutelaba,oumar sy,oumar sy,0,0.6376355569352028,170.0,-200.0,0.0,0.0,-0.02026176311611494,-0.029031109731463833
3,andre fili,jose delgado,jose delgado,0,0.7378285581827269,220.0,-260.0,0.056179380331262845,28.08969016563142,0.04156869139847602,0.015606335960504647
4,marwan rahiki,harry hardwick,harry hardwick,0,,-200.0,170.0,0.0,0.0,,
5,vitor petrino,steven asplund,vitor petrino,1,0.7151774588322211,-240.0,205.0,0.03160143111353434,15.800715556767171,0.03328891463538319,0.009295105891044653
6,charles johnson,bruno silva,charles johnson,1,0.685054641104786,-150.0,130.0,0.08156866750237718,40.78433375118859,0.17307364980500056,0.08505464110478589
7,chris curtis,myktybek orolbai,myktybek orolbai,0,0.7937334014973354,210.0,-250.0,0.10924784356898296,54.62392178449148,0.13482910443526963,0.0794476872116211
8,bolaji oki,manoel sousa,manoel sousa,0,,170.0,-200.0,0.0,0.0,,
9,luan lacerda,hecher sosa,hecher sosa,0,,170.0,-200.0,0.0,0.0,,
10,bia mesquita,montse rendon,bia mesquita,1,0.865211784682159,-500.0,375.0,0.14683855996052073,73.41927998026036,0.0566543562737685,0.03187845134882561
11,elijah smith,suyoung you,elijah smith,1,0.754831237664264,-250.0,210.0,0.10298473848866842,51.492369244334206,0.07920928591686399,0.040545523378549664
12,piera rodriguez,sam hughes,piera rodriguez,1,0.6537413800558778,-140.0,120.0,0.07762074604011764,38.81037302005882,0.15590899443708084,0.07040804672254453
13,josh emmett,kevin vallejos,kevin vallejos,0,0.8463438065734812,375.0,-500.0,0.07805807486328435,39.02903743164217,0.033611522581973086,0.013010473240147813
